symbol,source_timestamp,source_timestamp_utc,session_date,boundary_status,action_type,amount,numerator,denominator,split_ratio,raw_event_json
QQQ,1411133400,2014-09-19T13:30:00+00:00,2014-09-19,IN_SCOPE,DIVIDEND,0.238,,,,"{""amount"":0.238,""date"":1411133400}"
QQQ,1418999400,2014-12-19T14:30:00+00:00,2014-12-19,IN_SCOPE,DIVIDEND,0.387,,,,"{""amount"":0.387,""date"":1418999400}"
QQQ,1426858200,2015-03-20T13:30:00+00:00,2015-03-20,IN_SCOPE,DIVIDEND,0.248,,,,"{""amount"":0.248,""date"":1426858200}"
QQQ,1434720600,2015-06-19T13:30:00+00:00,2015-06-19,IN_SCOPE,DIVIDEND,0.254,,,,"{""amount"":0.254,""date"":1434720600}"
QQQ,1442583000,2015-09-18T13:30:00+00:00,2015-09-18,IN_SCOPE,DIVIDEND,0.26,,,,"{""amount"":0.26,""date"":1442583000}"
QQQ,1450449000,2015-12-18T14:30:00+00:00,2015-12-18,IN_SCOPE,DIVIDEND,0.342,,,,"{""amount"":0.342,""date"":1450449000}"
QQQ,1458307800,2016-03-18T13:30:00+00:00,2016-03-18,IN_SCOPE,DIVIDEND,0.318,,,,"{""amount"":0.318,""date"":1458307800}"
QQQ,1466170200,2016-06-17T13:30:00+00:00,2016-06-17,IN_SCOPE,DIVIDEND,0.287,,,,"{""amount"":0.287,""date"":1466170200}"
QQQ,1474032600,2016-09-16T13:30:00+00:00,2016-09-16,IN_SCOPE,DIVIDEND,0.294,,,,"{""amount"":0.294,""date"":1474032600}"
QQQ,1481898600,2016-12-16T14:30:00+00:00,2016-12-16,IN_SCOPE,DIVIDEND,0.355,,,,"{""amount"":0.355,""date"":1481898600}"
IWM,1047047400,2003-03-07T14:30:00+00:00,2003-03-07,IN_SCOPE,DIVIDEND,0.08,,,,"{""amount"":0.08,""date"":1047047400}"
IWM,1055511000,2003-06-13T13:30:00+00:00,2003-06-13,IN_SCOPE,DIVIDEND,0.075,,,,"{""amount"":0.075,""date"":1055511000}"
IWM,1063373400,2003-09-12T13:30:00+00:00,2003-09-12,IN_SCOPE,DIVIDEND,0.1185,,,,"{""amount"":0.1185,""date"":1063373400}"
IWM,1071239400,2003-12-12T14:30:00+00:00,2003-12-12,IN_SCOPE,DIVIDEND,0.1875,,,,"{""amount"":0.1875,""date"":1071239400}"
IWM,1071585000,2003-12-16T14:30:00+00:00,2003-12-16,IN_SCOPE,DIVIDEND,0.115,,,,"{""amount"":0.115,""date"":1071585000}"
