session_date,Trade Volume,Trade Value,Transaction,Opening Price,Highest Price,Lowest Price,Closing Price,Change,Mark,classification,classification_evidence
2016-01-14,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-01-21,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-02-24,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-03-04,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-03-22,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-05-12,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-05-16,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-05-31,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-06-03,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-06-04,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-06-24,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-07-20,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-07-22,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-08-19,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-08-24,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-09-09,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-09-26,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-09-30,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-10-06,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-10-24,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-11-01,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-11-21,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-11-24,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-11-30,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-12-09,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-12-26,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2016-12-29,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2017-01-03,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2017-01-16,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2017-02-09,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
