Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,SPY
2008-05-20,15.507102012634277,25.543716430664062,14.656536102294922,27.4637508392334,9.820987701416016,17.248727798461914,10.963665962219238,23.17255973815918,13.045676231384277,101.56472778320312
2008-05-21,15.05230712890625,25.165037155151367,14.283371925354004,27.000043869018555,9.562742233276367,17.07147789001465,10.908214569091797,22.968591690063477,12.76836109161377,99.8468017578125
2008-05-22,14.984931945800781,24.797664642333984,14.363751411437988,26.93682098388672,9.597957611083984,17.254850387573242,10.971588134765625,23.216270446777344,12.712900161743164,99.861083984375
2008-05-23,14.77942180633545,24.37660026550293,14.151333808898926,26.55040168762207,9.578392028808594,17.163162231445312,10.802594184875488,22.837467193603516,12.558395385742188,98.52256774902344
2008-05-27,14.712042808532715,24.218341827392578,14.225960731506348,26.831430435180664,9.734908103942871,17.212060928344727,10.858046531677246,22.932167053222656,12.653470039367676,99.252685546875
2008-05-28,15.079258918762207,24.729843139648438,14.145589828491211,27.01410484313965,9.78968334197998,17.236513137817383,10.865971565246582,22.910308837890625,12.653470039367676,99.7108154296875
2008-05-29,14.978187561035156,24.054452896118164,14.398191452026367,27.119495391845703,9.860111236572266,17.303743362426758,10.982150077819824,23.40566062927246,12.899099349975586,100.21182250976562
2008-05-30,14.99502944946289,24.303115844726562,14.214487075805664,27.288101196289062,9.918804168701172,17.41376304626465,10.908214569091797,23.369245529174805,12.800055503845215,100.46237182617188
2008-06-02,14.880489349365234,24.44724464416504,14.00207233428955,27.056251525878906,9.777944564819336,17.260963439941406,10.828999519348145,23.092432022094727,12.6732816696167,99.42445373535156
2008-06-03,14.897332191467285,23.921627044677734,13.956143379211426,26.964921951293945,9.72316837310791,17.352642059326172,10.733939170837402,23.245403289794922,12.689129829406738,98.84468078613281
2008-06-04,14.833322525024414,23.5655517578125,13.870035171508789,26.85953140258789,9.742729187011719,17.340421676635742,10.863330841064453,23.252689361572266,12.76440143585205,98.79460906982422
2008-06-05,15.331920623779297,24.794843673706055,14.145589828491211,27.056251525878906,9.942276000976562,17.51767349243164,10.992717742919922,23.456663131713867,12.930789947509766,100.7701416015625
2008-06-06,14.880489349365234,24.30877685546875,13.393529891967773,26.002391815185547,9.672298431396484,17.083707809448242,10.704891204833984,22.88846206665039,12.384082794189453,97.55620574951172
2008-06-09,15.106205940246582,25.023740768432617,13.209826469421387,26.26936149597168,9.65273380279541,17.144834518432617,10.871249198913574,22.764616012573242,12.376158714294434,97.79247283935547
2008-06-10,14.914176940917969,24.407691955566406,13.25001049041748,26.114789962768555,9.609696388244629,17.175384521484375,10.86068344116211,22.54607391357422,12.423702239990234,97.30569458007812
2008-06-11,14.648033142089844,24.557456970214844,12.865374565124512,25.62299346923828,9.36319351196289,17.083707809448242,10.850123405456543,22.320247650146484,12.1622314453125,95.87408447265625
2008-06-12,14.641298294067383,24.18443489074707,13.21556282043457,25.714324951171875,9.468839645385742,17.1998348236084,10.805233001708984,22.130849838256836,12.261273384094238,96.23917388916016
2008-06-13,15.005133628845215,24.472692489624023,13.422237396240234,26.009414672851562,9.570571899414062,17.187610626220703,10.902933120727539,22.480514526367188,12.566317558288574,97.45602416992188
2008-06-16,14.991665840148926,24.56029510498047,13.54853630065918,25.86890411376953,9.594045639038086,17.004241943359375,10.913497924804688,22.553361892700195,12.526704788208008,97.51329803466797
2008-06-17,15.072524070739746,24.967226028442383,13.152420043945312,25.81269645690918,9.554916381835938,16.949228286743164,10.974235534667969,22.495080947875977,12.39992904663086,97.04084014892578
